Date,Site ID,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Daily Obs Count,AQS Parameter Description,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2023,490352005,0.2,ppm,2,19,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/02/2023,490352005,0.0,ppm,0,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/03/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/04/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/05/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/06/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/07/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/08/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/09/2023,490352005,0.0,ppm,0,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/10/2023,490352005,0.0,ppm,0,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/11/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/12/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/13/2023,490352005,0.6,ppm,7,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/14/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/15/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/16/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/17/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/18/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/19/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/20/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/21/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/22/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/23/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/24/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/25/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/26/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/27/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/28/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/29/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/30/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
01/31/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/01/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/02/2023,490352005,0.7,ppm,8,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/03/2023,490352005,0.7,ppm,8,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/04/2023,490352005,0.6,ppm,7,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/05/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/06/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/07/2023,490352005,0.7,ppm,8,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/08/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/09/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/10/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/11/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/12/2023,490352005,0.6,ppm,7,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/13/2023,490352005,0.6,ppm,7,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/14/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/15/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/16/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/17/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/18/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/19/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/20/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/21/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/22/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/23/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/24/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
02/25/2023,490352005,0.6,ppm,7,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
